Name	Size	NES	NOM p-value	FDR q-value	Gene Details
KAN_RESPONSE_TO_ARSENIC_TRIOXIDE	95.0	1.8873258	0.0	0.019480199	GDF15,PSAT1,ANKRD1,TRIB3,GPNMB,RRM2,ATF3,TMEM158,ASNS,PHLDA1,TOP2A,NES,IGFBP5,ARL4C,GLRX,SERPINE1,NUPR1,ADM,HMOX1,CRYAB,SCG2,DDIT3,GRN,VAT1,SLC7A11,SOX2,FAM64A,MYBL1,CTH,THBS1,GPR65,FABP7,WIPI1
ONDER_CDH1_TARGETS_3_DN	37.0	1.8850827	0.0	0.019102104	KRT8,MMP10,DSC2,KRT13,PTGS2,HS3ST2,LCN2,ARL4C,SOX9,HBEGF,CXCL1,SCEL,IVL,IL1B,EPN3
YU_MYC_TARGETS_UP	35.0	1.8822302	0.001270648	0.01898111	E2F8,CKS2,BIRC5,BUB1,TOP2A,CCNB2,DTL,MKI67,CLIC4,ECT2,PLK1,CCNB1,KPNA2,CKS1B,ASPM
SWEET_KRAS_ONCOGENIC_SIGNATURE	77.0	1.8789893	0.0	0.019030053	KRT8,MDFI,PDK3,KRT18,PCBD1,LGALS3,CD68,MYH7,CTSS,PHLDA1,LCN2,GLRX,CITED2,TNNT1,PAFAH1B3,PON2,GADD45A,SLC25A5,RPL3,CDKN1A,SIRPA,CST3,FAM3C,ITGAM,ITGB2
ICHIBA_GRAFT_VERSUS_HOST_DISEASE_35D_UP	110.0	1.8748212	0.0	0.019422304	PDK3,MMP12,GDF5,MPEG1,LGALS3,S100A4,CD68,GPX3,BIRC5,LITAF,CTSS,NNMT,TYROBP,CCR1,LGMN,ORM2,LTF,GLTP,CXCL1,PLD3,GRN,PLK1,CCL2,HPX,LAPTM5,RND2,CD52,BTG2,CD74,SELPLG,SIRPA,CYBB,C1QC,CYB561,LCP2,MCRS1,ITGB2,ATP1B3,IL18BP,C1QB,CXCL9,CD53,C1QA,EMR1,NFKBIZ,SLPI,TMSB10,CCL4,IQGAP1,MSR1,CD14,CASP1,S100A6,PLD4
NAGASHIMA_NRG1_SIGNALING_UP	146.0	1.874585	0.0	0.018587157	GDF15,FOSB,ARC,SPHK1,EGR1,CLDN4,FOS,PMAIP1,FOSL1,F2RL1,ATF3,DUSP5,GAL,PHLDA1,SFN,SERPINB8,MAP3K8,TNFRSF12A,CTTN,LAMC2,NAB2,CTGF,ADM,HBEGF,IER2,AREG,DDIT3,TRIB1,GADD45A,EGR2,FOXA1,ALOXE3,JUNB,ARG2,WEE1,TUBB2A,GEM,ITPKC,FUT4,TNFRSF11B,CTH,PSME4,CYR61,DUSP4,CASP9,AQP3,TUBB6,HES1,NFIL3,SEMA3B,RGS2
BURTON_ADIPOGENESIS_9	81.0	1.8743851	0.0	0.017915636	NDRG4,EGR1,FOS,PTGS2,CDKN2A,PHLDA1,CCL7,SKAP2,MAGED2,CITED2,GALK2,NME4,SPP1,TPD52L1,CXCL1,F2R,GRN,CCL2,HCFC1R1,GEM,DOK1,RASSF5,MAOA,JUP,THBS1,CYR61,RNF13,HEBP1,TSPYL4,CDKN2B
BORLAK_LIVER_CANCER_EGF_UP	48.0	1.8716375	0.0	0.018305402	KRT8,KRT18,EGR1,FOS,RRM2,ATF3,CIDEA,MKI67,CPE,ANXA2,SERPINE1,ECT2,SPP1,RHOC,BTG2,JUNB,CCNB1
GENTILE_UV_HIGH_DOSE_UP	21.0	1.8647587	0.001345895	0.020931134	RRAD,PMAIP1,ATF3,NUPR1,SAT1,HBEGF,ACTC1,GADD45A,MMP3,HTR6
MARKEY_RB1_ACUTE_LOF_UP	183.0	1.8625994	0.0	0.021502567	SPRR1A,MMP10,SPHK1,BID,MPEG1,PLEKHO1,ITGAX,ADAM8,HES6,SH3BGRL2,CLEC4D,KRT7,CCL7,TYROBP,SKAP2,NPY,STOM,GLRX,NUPR1,CCR1,HCLS1,LGMN,APP,SOCS3,SAP30,C3AR1,EVI2A,SAT1,SPECC1,DDIT3,GADD45A,GRN,ERO1L,MMP3,CTSB,NCKAP1L,PSMB10,CRABP2,DHRS7,CD52,CSF2RA,CCL3,SGPL1,CH25H,CTSE,SERPINB9,ANXA4,PCSK5,FCGR2B,SELPLG,NAPSA,CPXM2,LMO2,PFKL,C1QC,ITGAM,ITGB2,LAT2,PDK1,ABCG1,GATM,IL18BP,FCER1G,C1QB,APOD,EMR1,ALDOC,TOR3A,MKRN1,UCK2,GBA,C5AR1,GPC4,LCP1,CCL4,MCOLN2,IL7R,IQGAP1,APOBEC1,CTSZ
HONRADO_BREAST_CANCER_BRCA1_VS_BRCA2	17.0	1.8619035	0.0	0.021171894	KRT8,CCNE1,BIRC5,CDKN2A,TOP2A,MKI67,KRT5,CCNB1,BCL2
LEE_LIVER_CANCER_ACOX1_UP	52.0	1.8617179	0.0	0.020453475	KRT8,SPRR1A,GIPC2,LCN2,SLC16A1,CBR3,ANXA2,IGFBP2,HTATIP2,ABHD2,GPX4,UAP1L1,CTSE,ANXA5,CD74,SPON2,PEX11A,CSTB,NQO1,CD63,RGS2,SLPI,APCS
CHEMELLO_SOLEUS_VS_EDL_MYOFIBERS_UP	32.0	1.8545778	0.0	0.021780135	TNNT2,CASQ2,ATP2A2,MYH7,TNNI1,HSPB1,TNNC1,TNNT1,SMTNL1,MYL2,FHL1,CRYAB,ITGB1BP2,PDLIM1,CSRP3
AKL_HTLV1_INFECTION_UP	23.0	1.8536932	0.001396648	0.021440139	LGALS3,GNAI1,APP,ADD2,SAT1,LGALS1,IDH2,NME1,NET1,FABP5,S100A10,SOX4,MAP4K4,ALDOC
KRIGE_AMINO_ACID_DEPRIVATION	26.0	1.8525712	0.0	0.021189729	PSAT1,TRIB3,ATF3,ASNS,SESN2,DDIT3,GADD45A,SLC7A11,ATF5,CDKN1A,CTH
JAEGER_METASTASIS_UP	37.0	1.850254	0.0	0.021513473	UCHL1,DDAH1,RRM2,NCAM1,CKS2,CENPF,SNAP25,KIF2C,DTL,PLOD2,TUBB2B,SPP1,EPS8,THBS4,NNT,BGN,ADAM12
ROSTY_CERVICAL_CANCER_PROLIFERATION_CLUSTER	123.0	1.8478248	0.0	0.02188124	E2F8,BID,RRM2,KIF11,GTSE1,CKS2,BIRC5,CDKN2A,BUB1,CENPF,TOP2A,E2F1,CENPE,KIF2C,CCNB2,DPP3,DTL,MKI67,MELK,KIFC1,SPAG5,ECT2,PAFAH1B3,LRP8,AURKB,CCDC109B,DBF4,PBK,ASF1B,CCNF,PLK1,SHCBP1,MAPK13,ESPL1,SLC38A1,CCNB1,TRIP13,NEK2,CENPA,KPNA2,ASPM,CDCA8
MARKEY_RB1_CHRONIC_LOF_DN	93.0	1.8462327	0.0	0.021671511	UCHL1,NDRG4,KRT18,MMP12,HPGD,ADAM8,CTSS,CLEC4D,GNG11,TYROBP,SKAP2,IGFBP2,TRPV2,NUPR1,ENAH,PON2,HMOX1,C3AR1,TPD52L1,MMP13,PLD3,IVL,PRDX2,CCL2,WISP1,CCL3,ZDHHC14,TEC,GSTA4,LMO2,NINJ1,FABP7,C1QC,LCP2,C1QB,PSTPIP1,CD53,C1QA,RHOB,APOE,SQSTM1,IL6,GABARAPL1,IRF5,MSR1,HIST1H2BA,CCR5,CD14
AIYAR_COBRA1_TARGETS_UP	32.0	1.8456614	0.0	0.021201637	TIMP1,ACOX2,TRIB3,ASNS,TPBG,ENAH,AREG,GADD45A,CTSB,NEK2,DEGS1,TMEM50A,MGP,DNAL4,APOD,PRLR
BERENJENO_TRANSFORMED_BY_RHOA_FOREVER_DN	29.0	1.84415	0.0025873221	0.021310687	ANKRD1,POSTN,PTGS2,PHLDA1,EREG,ECT2,HBEGF,CXCL1,F2R,COL3A1
HELLER_SILENCED_BY_METHYLATION_DN	88.0	1.8436644	0.0	0.020847991	GDF15,PSAT1,MAP1B,OLR1,TRIB3,DDAH1,STK39,F2RL1,RRM2,USH2A,ATF3,HSPA1B,ASNS,SLC1A4,E2F2,P2RX5,HMOX1,DDIT3,HSPA1A,SLC7A11,LAPTM5,BAG3,PPFIBP1,CTH,THBS1,ENPP2,UFM1,PGM3,SLC6A15,TXNDC5,DNAJB4,CDS1
POMEROY_MEDULLOBLASTOMA_DESMOPLASIC_VS_CLASSIC_UP	50.0	1.8435596	0.0	0.020299358	GABRB3,CITED1,OLFM1,APLP1,SLC1A2,E2F1,GABRG2,LRP8,GPX4,THBS4,CRABP2,BCAP31,PSMB5,ARL4D,DYRK4,LHX2,USP11,CHRM4,ILVBL,ACOX1
SENGUPTA_NASOPHARYNGEAL_CARCINOMA_WITH_LMP1_DN	102.0	1.8424298	0.0	0.020236393	SPRR1A,MAP1B,RRAD,LAMA1,MSLN,GSTA1,BICD1,DNER,FBXO2,PDZK1IP1,MAMDC2,LCN2,NNMT,GREB1,ITGAL,DOCK5,KRT7,CCL7,GFOD1,CD109,DYNLRB2,SCGB3A1,ELF5,TPD52L1,RAB40B,SCEL,MFAP3L,CRABP2,NTS,GC,MYBL1,DNAJC6,MFAP5,PDK4
YANG_BREAST_CANCER_ESR1_UP	28.0	1.8415945	0.0	0.019992523	MLPH,KRT18,ERBB4,ABAT,GREB1,MAGED2,WFS1,SCUBE2
LANDIS_ERBB2_BREAST_TUMORS_65_UP	20.0	1.8411747	0.0013869626	0.019658927	PERP,WSB2,TPD52L1,FOLR1,CMAS,DAP,PDIA4,BAG2,ATP6V1A,IGF2R,DUSP6
LIU_IL13_PRIMING_MODEL	11.0	1.8311682	0.0	0.02279142	EGR1,FOS,ETV5,PLK3,SERTAD1
HENDRICKS_SMARCA4_TARGETS_UP	48.0	1.8311182	0.0	0.022261385	KRT18,MAP1B,PERP,PLXNB2,FBLIM1,AGT,ARL4C,ITGA5,ABHD2,LGALS1,GADD45A,COTL1,CCL2,CTSB,LMNA,CDKN1A,TEC
MCBRYAN_PUBERTAL_BREAST_3_4WK_UP	182.0	1.8286766	0.0	0.022854261	KRT8,SPRR1A,MLPH,MUC15,KRT18,CITED1,FAM84A,RAB27B,GYS2,PERP,LGALS3,HSPA1B,CARHSP1,DSP,SLC25A24,CYB5R3,PHLDA1,ST14,LCN2,KRT7,HK1,SGTB,P2RX5,TNFRSF12A,GALC,RUNX1,COL8A1,CDCP1,IGFBP2,ABCC3,SOX9,ADM,SPP1,IRF6,TACSTD2,ELF5,ATP1A3,PROM2,LTF,PTPN5,CSPG4,RASSF3,GADD45A,SLC2A5,EGR2,AQP5,FOXA1
DAZARD_UV_RESPONSE_CLUSTER_G28	13.0	1.8277149	0.0	0.022601618	PMAIP1,ATF3,PTGS2,ANXA2,CTGF,CITED2,TACSTD2,GADD45A,H1FX
WANG_NEOPLASTIC_TRANSFORMATION_BY_CCND1_MYC	19.0	1.8257416	0.0	0.0230468	MMP12,TRIB3,ATF3,EREG,IGFBP5,ARHGAP24,AREG,DDIT3
LABBE_TGFB1_TARGETS_UP	84.0	1.8245558	0.0	0.023090916	KRT8,PTPRN,KRT18,PTGS2,LITAF,GREB1,KCNK5,KIF5A,LOX,CPE,CTGF,SERPINE1,CITED2,NUPR1,LAMB3,ADD2,SAT1,ACOT9,SOX11,GADD45A,AADAT,JUNB,CTSE,ITGB1,BEX2,CYR61,AASS,HSPA4,ABCG1
COATES_MACROPHAGE_M1_VS_M2_DN	57.0	1.8240647	0.0	0.022763202	UCHL1,GDF15,ADAM8,HSPA1B,SLC2A1,FBLIM1,MYO1F,ATP6V0D2,HSPA1A,PRDX2,ERO1L,SOAT1,LRRC27,CTSK,THBS1,C1QC,ANKRD37,IGF2R,IL18BP,C1QB,SH2B2,ALDOC,EFHD2
LEE_LIVER_CANCER_MYC_TGFA_UP	54.0	1.8238515	0.0023501762	0.02234148	KRT8,MT3,MMP12,MTHFD2,GIPC2,SLC1A4,LCN2,TFRC,ANXA2,APP,HTATIP2,IGF2,ATPIF1,UAP1L1,BTG2,MGMT,RALB,PSRC1,CYP39A1,CSTB,CD63,SLPI
BURTON_ADIPOGENESIS_PEAK_AT_8HR	35.0	1.8210056	0.0	0.02296736	FOSL1,SLC16A1,UCP2,EREG,PPA1,ITGA5,KLF5,VDR,CD44,SRXN1,ARL4D,TUBB2A,SLC23A2,GSTO1,TEAD4,SLC7A6
DELYS_THYROID_CANCER_UP	385.0	1.8192892	0.0	0.023217695	
CHASSOT_SKIN_WOUND	10.0	1.8191042	0.0015432099	0.02287211	
LEIN_NEURON_MARKERS	59.0	1.8164879	0.0	0.023374183	
MCCLUNG_DELTA_FOSB_TARGETS_2WK	39.0	1.810817	0.0	0.025332307	
SHIPP_DLBCL_CURED_VS_FATAL_UP	30.0	1.8087009	0.0	0.025787469	
AMIT_EGF_RESPONSE_40_MCF10A	18.0	1.80329	0.0028985508	0.027449373	
NADLER_OBESITY_UP	53.0	1.8018421	0.0	0.027556848	
DALESSIO_TSA_RESPONSE	18.0	1.801447	0.0028612304	0.027172424	
LINDVALL_IMMORTALIZED_BY_TERT_DN	70.0	1.8002671	0.0	0.027156843	
AMIT_SERUM_RESPONSE_40_MCF10A	26.0	1.8002596	0.0	0.02670423	
KIM_RESPONSE_TO_TSA_AND_DECITABINE_UP	98.0	1.7964212	0.0	0.02781506	
CHEN_METABOLIC_SYNDROM_NETWORK	978.0	1.7927212	0.0	0.028977312	
MATTHEWS_SKIN_CARCINOGENESIS_VIA_JUN	14.0	1.7906854	0.0014409221	0.029617002	
MARCINIAK_ER_STRESS_RESPONSE_VIA_CHOP	21.0	1.7898808	0.0041436465	0.029532468	
BROWN_MYELOID_CELL_DEVELOPMENT_UP	126.0	1.7895328	0.0	0.029256154	
HOSHIDA_LIVER_CANCER_SUBCLASS_S1	212.0	1.7890115	0.0	0.029067704	
MAHADEVAN_RESPONSE_TO_MP470_UP	11.0	1.7871381	0.007518797	0.02951136	
YAMASHITA_METHYLATED_IN_PROSTATE_CANCER	47.0	1.7867373	0.0	0.029278181	
HUMMERICH_SKIN_CANCER_PROGRESSION_UP	77.0	1.7864075	0.0	0.029051905	
FONTAINE_PAPILLARY_THYROID_CARCINOMA_UP	54.0	1.7849579	0.0	0.029477032	
CORRE_MULTIPLE_MYELOMA_UP	55.0	1.7845273	0.0	0.029269638	
KERLEY_RESPONSE_TO_CISPLATIN_UP	37.0	1.7816807	0.0012804097	0.030118011	
HOFMANN_MYELODYSPLASTIC_SYNDROM_LOW_RISK_DN	25.0	1.7803038	0.0025740026	0.030239427	
SMID_BREAST_CANCER_LUMINAL_B_UP	130.0	1.7802992	0.0	0.02983079	
DEMAGALHAES_AGING_UP	43.0	1.778758	0.002444988	0.030077653	
WANG_LSD1_TARGETS_DN	33.0	1.7754068	0.002688172	0.031104567	
RUIZ_TNC_TARGETS_DN	123.0	1.7723421	0.0	0.032108467	
PODAR_RESPONSE_TO_ADAPHOSTIN_UP	121.0	1.7703923	0.0	0.032650076	
CROONQUIST_STROMAL_STIMULATION_UP	52.0	1.757036	0.0012019231	0.039286993	
HANN_RESISTANCE_TO_BCL2_INHIBITOR_DN	39.0	1.7545207	0.0	0.040292636	
KIM_MYCL1_AMPLIFICATION_TARGETS_UP	10.0	1.7530733	0.0031201248	0.04071657	
LEE_LIVER_CANCER_DENA_UP	52.0	1.7481939	0.0011933175	0.04330743	
KOBAYASHI_EGFR_SIGNALING_24HR_DN	217.0	1.7481444	0.0	0.042823635	
BHATTACHARYA_EMBRYONIC_STEM_CELL	74.0	1.7468532	0.0011587485	0.04302715	
SOTIRIOU_BREAST_CANCER_GRADE_1_VS_3_UP	127.0	1.7463773	0.0	0.042817682	
AMUNDSON_GAMMA_RADIATION_RESPONSE	36.0	1.7461392	0.0037546933	0.04250234	
GAJATE_RESPONSE_TO_TRABECTEDIN_UP	55.0	1.7417346	0.0023952096	0.044620547	
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_MONOCYTE_UP	164.0	1.7403148	0.0	0.04526983	
RASHI_RESPONSE_TO_IONIZING_RADIATION_2	110.0	1.7388892	0.0	0.04566026	
TONKS_TARGETS_OF_RUNX1_RUNX1T1_FUSION_SUSTAINED_IN_MONOCYTE_UP	19.0	1.7381388	0.0027816412	0.045572802	
WANG_METHYLATED_IN_BREAST_CANCER	30.0	1.7375951	0.00124533	0.0453612	
SCHUETZ_BREAST_CANCER_DUCTAL_INVASIVE_DN	71.0	1.7366849	0.002259887	0.045358814	
NAKAJIMA_MAST_CELL	39.0	1.7351556	0.0049875313	0.04581912	
KAPOSI_LIVER_CANCER_MET_UP	17.0	1.7351115	0.005830904	0.04534284	
WARTERS_IR_RESPONSE_5GY	35.0	1.734899	0.0012870013	0.04495407	
FRASOR_TAMOXIFEN_RESPONSE_DN	10.0	1.730558	0.0015243902	0.047088515	
KORKOLA_EMBRYONIC_CARCINOMA_VS_SEMINOMA_UP	18.0	1.7283486	0.002919708	0.047935188	
CHANG_CYCLING_GENES	119.0	1.7245572	0.0	0.050062645	
DAZARD_UV_RESPONSE_CLUSTER_G2	21.0	1.7216961	0.008379889	0.051668134	
MORI_MATURE_B_LYMPHOCYTE_DN	68.0	1.7215217	0.0	0.05129868	
XU_HGF_SIGNALING_NOT_VIA_AKT1_48HR_UP	31.0	1.7205694	0.0076824585	0.051413506	
BURTON_ADIPOGENESIS_PEAK_AT_2HR	47.0	1.7179129	0.0011848342	0.05281437	
SENESE_HDAC2_TARGETS_DN	101.0	1.7150985	0.0010917031	0.054177206	
SABATES_COLORECTAL_ADENOMA_UP	91.0	1.7149738	0.0	0.053746805	
MAHADEVAN_RESPONSE_TO_MP470_DN	17.0	1.7109149	0.005594406	0.055876642	
WU_CELL_MIGRATION	151.0	1.7095503	0.0	0.056419313	
RAMALHO_STEMNESS_DN	63.0	1.7060714	0.0	0.058416437	
AMIT_EGF_RESPONSE_120_MCF10A	37.0	1.7060249	0.0038412292	0.057904862	
TSENG_ADIPOGENIC_POTENTIAL_UP	26.0	1.7052069	0.006821282	0.057960637	
ZHAN_MULTIPLE_MYELOMA_CD1_VS_CD2_UP	58.0	1.7029722	0.0	0.05884698	
TAVOR_CEBPA_TARGETS_UP	41.0	1.7025383	0.0	0.058600865	
LI_INDUCED_T_TO_NATURAL_KILLER_UP	247.0	1.6988213	0.0	0.06105154	
MATTHEWS_AP1_TARGETS	16.0	1.6985651	0.004464286	0.060706973	
AMIT_SERUM_RESPONSE_60_MCF10A	47.0	1.6978304	0.0012239902	0.06079196	
AMIT_EGF_RESPONSE_60_MCF10A	33.0	1.6970009	0.0025125628	0.061030667	
CHUANG_OXIDATIVE_STRESS_RESPONSE_UP	24.0	1.6968681	0.006802721	0.060595434	
GOLDRATH_ANTIGEN_RESPONSE	294.0	1.6946361	0.0	0.06189987	
IKEDA_MIR30_TARGETS_DN	24.0	1.6943263	0.008321775	0.061624717	
CONCANNON_APOPTOSIS_BY_EPOXOMICIN_UP	197.0	1.6938103	0.0	0.061496336	
KIM_ALL_DISORDERS_OLIGODENDROCYTE_NUMBER_CORR_DN	19.0	1.6903788	0.008438818	0.063968964	
KATSANOU_ELAVL1_TARGETS_UP	142.0	1.6902684	0.0	0.063553415	
YE_METASTATIC_LIVER_CANCER	21.0	1.6900846	0.0042432817	0.06317008	
ACEVEDO_FGFR1_TARGETS_IN_PROSTATE_CANCER_MODEL_UP	230.0	1.6898268	0.0	0.06280178	
DACOSTA_ERCC3_ALLELE_XPCS_VS_TTD_UP	26.0	1.6896614	0.010666667	0.06243077	
HOELZEL_NF1_TARGETS_UP	114.0	1.6837941	0.0	0.0665038	
VALK_AML_WITH_CEBPA	31.0	1.6811324	0.0037926675	0.067983866	
LEE_TARGETS_OF_PTCH1_AND_SUFU_DN	69.0	1.680431	0.0035211267	0.06807774	
ALTEMEIER_RESPONSE_TO_LPS_WITH_MECHANICAL_VENTILATION	100.0	1.6800032	0.0	0.06799684	
MCBRYAN_PUBERTAL_BREAST_4_5WK_UP	230.0	1.6792971	0.0	0.06806406	
LEE_AGING_NEOCORTEX_UP	80.0	1.6776959	0.0	0.06893116	
VALK_AML_CLUSTER_7	23.0	1.6771189	0.00947226	0.068886764	
TANG_SENESCENCE_TP53_TARGETS_DN	49.0	1.6765444	0.0023923444	0.06882691	
WATTEL_AUTONOMOUS_THYROID_ADENOMA_UP	55.0	1.6753199	0.0047003524	0.06924935	
ZHENG_GLIOBLASTOMA_PLASTICITY_UP	211.0	1.6751255	0.0	0.06888167	
GERY_CEBP_TARGETS	107.0	1.674705	0.0010928962	0.06872925	
LUI_THYROID_CANCER_CLUSTER_1	43.0	1.671925	0.005	0.07048645	
INGA_TP53_TARGETS	15.0	1.6712464	0.018492177	0.07050872	
RHODES_UNDIFFERENTIATED_CANCER	63.0	1.6677456	0.0023584906	0.07308256	
CROONQUIST_IL6_DEPRIVATION_DN	91.0	1.6663132	0.0011086474	0.07373378	
POOLA_INVASIVE_BREAST_CANCER_UP	220.0	1.6652627	0.0	0.07426422	
CROONQUIST_NRAS_SIGNALING_UP	34.0	1.6647497	0.0051150895	0.07418471	
ACEVEDO_LIVER_CANCER_WITH_H3K9ME3_UP	70.0	1.6646602	0.0011520737	0.07370674	
